hit,miss, instruction
789,5596,789091634
790,5840,790098575
791,5282,791089770
792,5564,792093611
793,5497,793091545
794,5663,794096863
795,5323,795099661
796,5747,796091050
797,5412,797088213
798,5923,798088613
799,5347,799096092
800,5755,800086965
801,5356,801086419
802,6040,802095338
803,5360,803090421
804,5767,804086674
805,5846,805085182
806,5441,806080935
807,5653,807089849
808,5303,808091458
809,5635,809094544
810,5338,810093414
811,5773,811101382
812,5350,812090892
813,5701,813090309
814,5208,814093512
815,5611,815087858
816,5319,816091001
817,5717,817091505
818,5363,818093777
819,891,819251719
820,9,820248875
821,6,821225832
822,3986,822082158
823,13256,823082189
824,13210,824077777
825,13307,825082821
826,13308,826086010
827,13311,827091068
828,13169,828086452
829,13281,829088899
830,13182,830083926
831,13320,831089384
832,13232,832086692
833,13206,833082364
834,13313,834086297
835,13283,835088528
836,13107,836077126
837,13347,837084361
838,13207,838083469
839,13373,839092216
840,13106,840082656
841,13227,841080920
842,13259,842082360
843,13294,843086500
844,13248,844085727
845,13295,845088353
846,13224,846086351
847,13164,847082771
848,13193,848084938
849,12987,849075884
850,12741,850089989
851,10989,851093700
852,10501,852087834
853,13193,853084038
854,13207,854082554
855,13157,855077582
856,13406,856087107
857,13216,857085073
858,13250,858085329
859,13225,859084773
860,13235,860084443
861,13236,861082618
862,13158,862077098
863,13235,863076011
864,13371,864085626
865,13238,865086586
866,13211,866086320
867,13278,867089138
868,13045,868075287
869,13494,869093291
870,13156,870086463
871,13228,871085942
872,13265,872087137
873,13263,873087868
874,13198,874085121
875,13241,875086455
876,13154,876081483
877,13290,877085491
878,13285,878088469
879,12948,879066563
880,13519,880087561
881,13125,881078648
882,10572,882081023
883,10526,883086856
884,10358,884082261
885,10450,885081224
886,10404,886080939
887,10485,887086712
888,10290,888082554
889,10407,889085356
890,10406,890088819
891,10373,891085173
892,10418,892085318
893,10377,893079762
894,10357,894070914
895,10540,895082545
896,10416,896083528
897,10469,897085070
898,10278,898079182
899,10541,899091073
900,10388,900093655
901,10269,901080935
902,10380,902082976
903,10440,903083790
904,10407,904083654
905,10390,905085308
906,10302,906082106
907,10435,907080386
908,10421,908084750
909,10348,909081551
910,10372,910079871
911,10416,911079262
912,10524,912089641
913,10442,913094052
914,10209,914080452
915,10427,915080970
916,10360,916080742
917,10359,917078896
918,10307,918075902
919,10440,919078366
920,10495,920084640
921,10535,921091895
922,10286,922078768
923,10419,923078084
924,10433,924082376
925,10567,925093113
926,10279,926082291
927,10314,927079968
928,10387,928082319
929,10517,929091634
930,10442,930091131
931,10290,931081022
932,10452,932083063
933,10409,933083682
934,10417,934080514
935,10368,935078179
936,10353,936082164
937,10480,937085211
938,10384,938083369
939,10294,939078667
940,10369,940079921
941,10470,941081999
942,10419,942090709
943,10378,943090434
944,10334,944080538
945,10455,945081631
946,10405,946082453
947,10272,947073863
948,10434,948080171
949,10480,949081395
950,10208,950083354
951,10410,951088664
952,10068,952078235
953,10399,953085162
954,10202,954084780
955,9960,955071791
956,9926,956072606
957,8733,957216377
958,0,958216324
959,5,959225430
960,4,960214299
961,7638,961074544
962,13253,962077340
963,13299,963073642
964,13331,964075929
965,13313,965074711
966,13411,966072921
967,13512,967075856
968,13386,968073846
969,13332,969068874
970,13710,970090613
971,14151,971085583
972,13452,972081780
973,13684,973087566
974,13667,974081109
975,13936,975085040
976,13577,976083406
977,13518,977082189
978,13734,978083477
979,13518,979082648
980,14307,980089035
981,13423,981085625
982,13619,982085846
983,13884,983082796
984,13764,984084062
985,13569,985097268
986,13466,986082465
987,13467,987080644
988,13426,988081978
989,13363,989093700
990,13029,990084647
991,13313,991077077
992,13933,992095848
993,13253,993080487
994,13577,994085902
995,13486,995083155
996,13323,996075585
997,13558,997079516
998,13579,998082728
999,13450,999080333
